GDR2_146261232911369600,TIC_18311422
GDR2_146261335990581120,TIC_268217877
GDR2_146274800711671296,TIC_353728610
GDR2_146277553787186048,TIC_268324394
GDR2_146291538200704256,TIC_268324202
GDR2_1463237225366347776,TIC_105580220
GDR2_1463317107462293504,TIC_330867312
GDR2_14636149033173504,TIC_399919413
GDR2_146487560507840768,TIC_118893901
GDR2_146671831784551424,TIC_118596211
GDR2_146686292938953216,TIC_118762616
GDR2_146708734143437568,TIC_118679163
GDR2_146709146460303744,TIC_118679162
GDR2_146719488741654784,TIC_118596251
GDR2_146726566847745536,TIC_118555748
GDR2_146729693583901056,TIC_118597453
GDR2_146734503947264640,TIC_118597400
GDR2_146743300040172032,TIC_118554666
GDR2_146758796282263040,TIC_118597308
GDR2_146758968080949504,TIC_238407947
GDR2_146764809236423808,TIC_118679341
GDR2_146767764173923328,TIC_118679348
GDR2_146767935972608128,TIC_118679380
GDR2_146849639135464064,TIC_150172502
GDR2_146874275068113664,TIC_118710667
GDR2_146881048231272192,TIC_150059917
GDR2_146893280298091264,TIC_150060148
GDR2_146915167451410304,TIC_150097018
GDR2_146953066243274240,TIC_18448048
GDR2_147142796423033728,TIC_59959606
GDR2_147167569794382976,TIC_59959405
GDR2_147194443404975488,TIC_60005317
GDR2_147208526602511360,TIC_60005068
GDR2_147226737263203584,TIC_125977038
GDR2_147272779312411904,TIC_125977290
GDR2_147272848031900160,TIC_59682928
GDR2_147276971200503296,TIC_59743747
GDR2_147289757318817792,TIC_150172878
GDR2_147290302778983424,TIC_150172905
GDR2_147301096031888512,TIC_150130936
GDR2_147308410361100544,TIC_125914887
GDR2_147327205138720128,TIC_125977389
GDR2_147329713398897152,TIC_59682758
GDR2_147338994823862144,TIC_125914719
GDR2_147341159487372672,TIC_125916253
GDR2_147401426468526080,TIC_59961243
GDR2_1474122356121291520,TIC_166051927
GDR2_147423721643052032,TIC_59684627
GDR2_147430146914125440,TIC_59684773
GDR2_147432040995374592,TIC_59745635
GDR2_147435270810772992,TIC_59745747
GDR2_147438530690561664,TIC_59743338
GDR2_147441558642852736,TIC_125977598
GDR2_147471516039305728,TIC_59839323
GDR2_147472791645036928,TIC_59839271
GDR2_147476257683201024,TIC_59745967
GDR2_147523609698860160,TIC_118521012
GDR2_1475278630037259264,TIC_22741114
GDR2_147545221974214016,TIC_125881335
GDR2_147546080967742720,TIC_118555069
GDR2_147580509425444352,TIC_268511006
GDR2_147580578144923776,TIC_268511011
GDR2_147596658502480128,TIC_268445203
GDR2_147605282796916992,TIC_268511204
GDR2_147606657186323712,TIC_268511247
GDR2_14761154056865536,TIC_365302222
GDR2_147631941657564032,TIC_268511458
GDR2_1476464453328299264,TIC_180670276
GDR2_147661387953340672,TIC_125881733
GDR2_147672932825452928,TIC_150060365
GDR2_147678396024942976,TIC_150096313
GDR2_147680457609244672,TIC_150097246
