loc_rowid,toi,tid,tfopwg_disp,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,st_tmag,st_dist,st_teff,st_logg,st_rad
5637,913.01,407126408,PC,2458625.2192690,11.0941220,3.3095720,1131.9905230,2.5584980,9.6181000,65.1769000,4948.0000000,4.6039400,0.7459640
5638,914.01,153027658,FP,2458384.9247000,2.3374921,2.2790000,760.0000000,4.0065900,10.2413000,233.2062000,5963.4000000,3.6500000,1.5400000
5639,915.01,259389219,FP,2459199.8655780,2.3250156,1.7750000,1130.0000000,10.7275000,11.2486000,506.3710000,5753.0000000,3.8300000,2.0500000
5640,916.01,348844154,FP,2458343.2066000,29.1736200,8.0750000,5558.8500000,15.4676000,11.2532000,427.2760000,5493.2000000,3.9200000,1.8900000
5641,917.01,207237016,PC,2459130.9746240,26.4126931,2.9560000,4670.0000000,37.1984000,11.2459000,704.5280000,6070.0000000,3.6500000,2.6300000
5642,918.01,294869729,FP,2459199.9049430,1.1140067,3.0720000,410.0000000,6.3467500,11.2716000,549.8720000,5614.0000000,3.5000000,2.9400000
5643,919.01,150167117,APC,2459366.2656660,20.0267256,2.5145181,17981.7686833,25.1508945,11.1835000,,5811.1000000,,1.1370000
5644,920.01,271722899,FP,2458335.2341100,19.2998000,3.1700000,1864.7800000,,11.1910000,3540.1800000,3818.0000000,,
5645,921.01,278775625,PC,2459385.4546930,5.1287186,1.8950000,620.0000000,3.1343800,11.2559000,294.0150000,6055.5000000,4.3800000,1.1400000
5646,922.01,278199349,FP,2458418.2185700,9.4651600,3.9510000,10952.3000000,,11.4990000,1220.4800000,4120.0000000,,
5647,923.01,301051430,FP,2459146.8704410,3.2734671,1.7581445,964.8222534,4.6127136,11.0264000,302.9440000,6049.0000000,4.3000000,1.2461000
5648,924.01,382068562,PC,2459373.3179140,12.1273927,1.8590000,18800.0000000,15.6802000,11.3593000,251.2400000,5682.0000000,4.4500000,0.9900000
5649,925.01,300599466,FP,2458331.8653700,13.1774100,2.7500000,1750.0000000,49.3180000,11.3377000,1811.8100000,5027.7000000,,10.0500000
5650,926.01,176796997,PC,2459144.9735670,1.8001564,1.2253337,1634.3340906,5.1987259,10.5926000,216.2070000,5658.4000000,,1.0000000
5651,927.01,261258875,FP,2458327.4500300,2.5852000,1.9630000,290.0000000,4.6650200,9.2691000,314.6160000,6639.0000000,3.7300000,2.6600000
5652,928.01,300557619,FP,2458350.3222200,30.5790800,6.2970000,12972.8000000,14.1152000,11.4124000,310.2110000,5848.0000000,4.3500000,1.1300000
5653,929.01,175532955,PC,2459169.6794610,5.8301490,2.6180000,1310.0000000,2.7050500,11.4337000,114.4210000,4451.0000000,4.5700000,0.7200000
5654,930.01,100921768,PC,2459165.0276630,4.9003800,3.5060000,240.0000000,6.5681900,8.1605000,306.1180000,6504.0000000,3.3200000,4.1800000
5655,931.01,206474443,PC,2459169.2913980,3.2452094,2.7220000,7370.0000000,20.6894000,11.5458000,,5928.0000000,,2.3100000
5656,932.01,260417932,PC,2459338.6036070,19.3103369,3.6896987,1327.7189958,2.6258476,10.7378000,85.3837000,4444.0000000,4.5500000,0.7340730
5657,932.02,260417932,PC,2459380.4659270,7.9856481,2.7290000,460.0000000,1.7072400,10.7378000,85.3837000,4444.0000000,4.5500000,0.7300000
5658,933.01,260130483,PC,2458611.7436890,88.9349517,8.3176929,4066.1083043,12.6770385,10.6361000,300.4230000,5546.9000000,3.9300000,1.7867200
5659,934.01,220475245,PC,2459385.2120550,3.7817370,2.1920000,18960.0000000,12.4301000,12.7080000,301.8720000,4833.0000000,4.5171200,0.8700000
5660,935.01,260476837,FP,2458627.0636270,2.2326590,2.5383350,19244.4147260,15.9590560,12.7918000,282.2030000,4814.0000000,4.5194600,0.8041490
5661,936.01,278198753,PC,2459373.9852540,7.9365475,1.6670000,4630.0000000,7.7636800,12.6327000,238.3210000,4320.0000000,4.5723200,0.8500000
