Gaia,RAdeg,DEdeg,Gmag,P,Age,E_Age,e_Age,distance_pc,table_origin
2365987673938660000,1.7746,-18.8494,13.5,0.11,,,,301.20481927710847,1
6116063498576110000,214.3859,-40.3156,15.5,0.71,23.0,6.3,4.9,98.61932938856015,1
5974222031835570000,262.4723,-37.1769,16.3,0.12,22.7,106.9,4.4,308.641975308642,1
4198446461604280000,288.289,-11.3332,17.0,0.33,19.6,6.9,6.2,240.3846153846154,1
3657814055894800000,209.4805,-2.416,15.2,0.14,30.2,32.3,10.2,115.87485515643104,1
636624864640700000,136.793,20.3567,16.4,0.3,21.8,8.6,6.4,215.51724137931035,1
3787958643070210000,166.079,-5.7886,16.9,0.79,26.9,7.5,6.0,130.54830287206266,1
5199057293334410000,163.0032,-79.9553,17.3,0.17,29.6,17.4,10.9,254.45292620865138,1
4844283790569880000,63.0115,-39.2883,16.4,0.19,24.8,7.6,6.4,267.379679144385,1
413779455704498000,20.6167,57.7398,17.2,0.33,27.8,6.0,5.3,219.2982456140351,1
854281059739266000,159.9781,56.7694,15.4,0.71,9.7,4.4,2.4,301.20481927710847,1
2692645053768150000,320.8999,2.9751,16.1,0.36,24.6,12.8,6.2,157.9778830963665,1
4065799282880600000,272.1703,-24.6813,15.8,0.36,15.5,7.5,5.8,244.49877750611248,1
6121072353857090000,212.6558,-36.0382,17.6,0.38,42.9,14.1,9.3,130.03901170351105,1
4221321221199990000,299.0277,-4.9285,17.4,0.22,37.7,13.9,8.4,172.41379310344828,1
5989149791980560000,235.5793,-44.0911,13.3,0.46,9.5,3.5,1.9,125.47051442910916,1
6708661744380950000,278.347,-45.428,16.0,0.13,,,,252.52525252525254,1
5906427862850000000,221.6012,-45.6687,14.9,0.76,23.0,4.4,4.3,79.42811755361399,1
2092457768257520000,283.9916,35.2114,17.3,0.2,25.2,14.5,5.7,315.45741324921136,1
4383014782700300000,251.7835,0.3751,15.6,0.15,26.4,25.3,11.4,167.78523489932886,1
4944355154177080000,31.7579,-44.1107,12.1,0.13,22.9,31.1,3.7,42.75331338178709,1
6061130312817310000,189.3162,-56.9497,16.4,0.94,25.1,5.6,5.2,116.95906432748536,1
5454189556287920000,160.0968,-31.4178,16.1,0.46,24.5,11.2,5.6,151.285930408472,1
6061141965074630000,190.3441,-57.346,13.3,0.79,15.5,10.0,3.5,98.23182711198429,1
6061152101197950000,190.8766,-57.0552,13.8,0.4,16.4,14.2,6.2,114.28571428571429,1
5659903268401610000,147.58,-25.8432,17.2,0.16,28.4,19.2,6.2,273.972602739726,1
5322310077208090000,127.5113,-51.4463,16.2,0.84,11.8,4.4,3.3,297.61904761904765,1
4793553110041920000,85.8423,-50.5799,16.3,0.39,22.5,5.4,5.0,194.17475728155338,1
6106511040332780000,220.5438,-37.0504,17.3,0.55,26.5,7.2,7.5,154.320987654321,1
3447293313307020000,81.1638,31.6241,15.6,0.14,22.0,19.3,1.3,240.96385542168673,1
488416469656453000,54.4331,64.8978,11.6,1.0,,,,301.20481927710847,1
5322397385302860000,126.9769,-50.9071,16.3,0.16,22.7,11.4,4.7,311.52647975077883,1
5322355397702680000,127.0179,-51.2354,8.1,0.3,,,,303.03030303030306,1
5322333544909420000,127.8224,-51.1145,15.0,0.91,11.9,6.1,4.1,201.2072434607646,1
2198883415725240000,328.7343,55.9682,15.4,0.2,19.4,9.9,2.6,219.2982456140351,1
2198852865612900000,333.7467,58.3284,16.9,0.19,26.4,23.4,9.9,240.3846153846154,1
2198883724962880000,328.6793,55.9558,16.2,0.21,21.4,15.9,5.2,250.0,1
4761768500922090000,73.4958,-60.4254,14.5,0.14,24.3,32.2,5.9,135.50135501355012,1
2198889772276950000,328.8587,56.1411,11.5,0.16,,,,149.2537313432836,1
5322357145749460000,127.0428,-51.1308,16.9,0.18,23.7,6.6,6.7,319.4888178913738,1
210626746681527000,84.4575,47.4388,16.3,0.98,10.2,2.3,2.8,208.76826722338205,1
4067978691116090000,265.2834,-25.1372,15.8,0.25,18.4,11.2,2.8,201.61290322580646,1
6295240390174680000,206.5359,-16.8351,12.6,0.95,,,,179.8561151079137,1
6327123860853550000,221.9454,-8.6514,16.4,0.5,13.7,3.4,3.5,306.7484662576687,1
3352056399248770000,100.4698,12.2024,13.9,0.19,21.0,14.5,2.7,120.91898428053204,1
6709267613951020000,276.7433,-45.9687,3.5,0.46,,,,76.10350076103501,1
469890798245756000,58.4527,57.5913,15.8,0.32,21.9,10.6,4.2,177.9359430604982,1
2748171662281030000,6.1468,7.5739,13.9,0.21,23.1,7.6,6.2,90.9090909090909,1
6030846945078490000,249.9028,-30.4236,15.4,1.0,4.2,2.0,1.2,173.91304347826087,1
5791478492013100000,206.4257,-73.4372,16.2,0.17,25.8,20.7,5.9,200.40080160320642,1
3704192315348510000,191.3772,4.5517,15.4,0.16,26.5,23.0,7.5,141.24293785310735,1
5935093299233710000,244.2547,-50.3132,15.1,0.99,15.1,3.1,3.2,108.45986984815617,1
5867112831750000000,209.5393,-61.2578,16.6,0.47,23.8,10.6,6.6,185.5287569573284,1
6033150254484390000,254.7275,-28.249,14.0,1.0,8.0,2.7,3.4,116.68611435239207,1
