TIC_ID,TLC,EOM,Gaia_DR2_ID,RAdeg,DEdeg,plx,Gmag,bp-rp,Prob,Age,E_Age,e_Age
TIC_34236773,27.0,2.0,GDR2_3190312225845511424,61.4262,-11.6285,4.63,16.2,3.0,0.4,19.7,7.4,3.3
TIC_290358463,-1.0,-1.0,GDR2_6695790384525586304,305.5052,-36.2804,3.8,16.1,2.7,0.23,19.7,9.4,3.5
TIC_26976248,-1.0,-1.0,GDR2_3418398250807296128,76.412,23.065,3.35,15.7,2.7,0.3,12.1,3.8,2.2
TIC_76005542,22.0,10.0,GDR2_4111593839099794176,260.3385,-23.3938,6.65,15.4,3.0,0.92,14.7,3.1,3.8
TIC_27092236,18.0,5.0,GDR2_3418414193726125184,76.9127,23.1851,6.05,15.5,3.1,1.0,8.0,3.4,2.9
TIC_37421851,22.0,-1.0,GDR2_6026598569590232832,254.8429,-32.8474,6.65,16.4,3.4,0.94,17.8,2.0,4.9
TIC_301431046,22.0,27.0,GDR2_5341964225542588160,178.4475,-57.739,9.67,16.3,3.5,0.82,26.5,8.0,8.0
NO_TIC_FOUND,-1.0,-1.0,GDR2_5580229563474935168,98.8509,-36.7798,5.92,5.9,-0.1,0.31,nan,nan,nan
TIC_291156447,-1.0,-1.0,GDR2_3704037971403944448,190.6895,3.7437,3.8,17.1,3.0,0.31,22.7,5.5,5.3
TIC_355673642,-1.0,-1.0,GDR2_2019171401285610368,291.2791,22.3134,3.54,17.6,3.2,0.2,nan,nan,nan
TIC_442690369,22.0,-1.0,GDR2_6011419712791708160,238.0921,-35.541,5.63,16.2,3.3,1.0,8.6,2.6,2.7
TIC_442689368,22.0,-1.0,GDR2_6011392186336443392,237.9456,-35.9457,6.46,11.8,1.8,1.0,nan,nan,nan
TIC_170710388,-1.0,-1.0,GDR2_4361225451536357760,259.2222,-6.4792,5.92,16.3,3.2,0.33,20.7,8.9,3.6
TIC_307111557,-1.0,-1.0,GDR2_404560016339195136,14.5263,51.1527,3.07,15.8,2.5,0.48,11.5,3.5,2.7
TIC_442734118,-1.0,-1.0,GDR2_6011403494995126656,238.2911,-35.6577,4.65,15.5,2.7,0.3,18.3,8.4,2.2
TIC_442734591,22.0,-1.0,GDR2_6011432803852543744,238.3488,-35.4624,7.59,16.8,3.6,0.95,23.4,4.0,5.0
TIC_75143198,-1.0,-1.0,GDR2_5427085976191999616,138.6019,-43.2274,5.55,5.2,-0.2,0.62,nan,nan,nan
TIC_13124091,-1.0,-1.0,GDR2_2061079630550856064,305.2015,38.2565,3.16,7.6,-0.1,0.34,nan,nan,nan
TIC_229513505,-1.0,-1.0,GDR2_2240586276849163264,297.3465,61.1071,3.21,17.1,2.9,0.15,26.5,24.0,7.2
TIC_229486642,-1.0,-1.0,GDR2_2240639843680974464,296.0018,61.3098,3.57,16.4,2.8,0.3,20.3,10.7,4.6
TIC_84752327,22.0,15.0,GDR2_5969480662861251456,250.0188,-39.2735,5.69,15.3,3.1,1.0,6.2,2.6,2.4
TIC_458085638,22.0,15.0,GDR2_5969503477730106880,250.4875,-38.9215,6.05,15.9,3.0,0.36,20.4,6.8,5.6
NO_TIC_FOUND,-1.0,-1.0,GDR2_5427054429650918528,138.127,-43.6132,5.31,6.0,-0.2,0.48,nan,nan,nan
TIC_452749020,-1.0,-1.0,GDR2_3232014537223884672,74.6218,2.0377,3.43,15.0,2.4,0.79,7.7,4.5,1.6
TIC_130650503,-1.0,-1.0,GDR2_5558117800527096064,106.258,-45.487,3.05,13.3,1.5,0.56,nan,nan,nan
TIC_24229311,-1.0,-1.0,GDR2_6833883513055810816,317.9223,-18.1917,3.67,15.1,2.3,0.14,17.9,1.5,3.3
TIC_458084177,22.0,15.0,GDR2_5969497018099105664,250.5018,-39.0911,6.24,17.0,3.4,0.59,30.5,9.1,7.0
TIC_243268964,22.0,24.0,GDR2_6111675382030638464,203.9084,-43.9432,7.94,16.9,3.6,0.27,41.5,15.2,4.7
NO_TIC_FOUND,-1.0,-1.0,GDR2_5973119084238374784,257.8991,-38.8194,4.07,15.7,2.6,0.13,21.7,28.3,1.8
TIC_93763678,22.0,-1.0,GDR2_5345273648130813696,175.8434,-53.4532,8.88,15.4,3.2,0.55,23.6,6.3,5.4
TIC_291857003,22.0,15.0,GDR2_6017869825978980096,248.5249,-38.0968,5.8,15.3,3.1,1.0,7.5,2.9,3.2
TIC_85362309,22.0,15.0,GDR2_5969499698135283712,250.3845,-39.102,5.87,15.1,3.1,1.0,4.9,1.3,2.2
TIC_130578310,-1.0,-1.0,GDR2_5558102403067735040,105.757,-45.6926,3.88,17.7,3.2,0.16,39.2,25.0,8.0
